ISO_639,Language_Name,Uninverted_Name,Country_Code,Country_Name,Region_Code,Region_Name,Area,L1_Users,Digits,All_Users,Countries,Family,Classification,Latitude,Longitude,EGIDS,Is_Written,Institutional,Developing,Vigorous,In_Trouble,Dying,Extinct
acf,Saint Lucian Creole French,Saint Lucian Creole French,LC,Saint Lucia,CAR,Caribbean,Americas,359450,6,359450,4,Creole,"Creole, French based",15.4238,-61.3572,5,T,0,1,0,0,0,0
ach,Acholi,Acholi,UG,Uganda,EAF,Eastern Africa,Africa,1197000,7,1197000,2,Nilo-Saharan,"Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Western, Luo, Southern, Luo-Acholi, Alur-Acholi, Lango-Acholi",3.0936,32.6367,5,T,0,1,0,0,0,0
aci,Aka-Cari,Aka-Cari,IN,India,SAS,Southern Asia,Asia,0,0,0,1,Andamanese,"Andamanese, Great Andamanese, Northern",13.5686,93.035,x10,F,0,0,0,0,0,1
ack,Aka-Kora,Aka-Kora,IN,India,SAS,Southern Asia,Asia,0,0,0,1,Andamanese,"Andamanese, Great Andamanese, Northern",13.4165,93.0676,x10,F,0,0,0,0,0,1
acl,Akar-Bale,Akar-Bale,IN,India,SAS,Southern Asia,Asia,0,0,0,1,Andamanese,"Andamanese, Great Andamanese, Central",11.9789,92.9951,x10,F,0,0,0,0,0,1
acm,"Arabic, Mesopotamian Spoken",Mesopotamian Spoken Arabic,IQ,Iraq,WAS,Western Asia,Asia,15379000,8,15379000,4,Afro-Asiatic,"Afro-Asiatic, Semitic, Central, South, Arabic",31.5644,46.8276,3,T,1,0,0,0,0,0
acn,Achang,Achang,CN,China,EAS,Eastern Asia,Asia,62700,5,62700,2,Sino-Tibetan,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Northern",24.6798,98.7253,5,T,0,1,0,0,0,0
acp,"Acipa, Eastern",Eastern Acipa,NG,Nigeria,WAF,Western Africa,Africa,5000,4,5000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Western, Kamuku",10.6699,5.9896,6a,F,0,0,1,0,0,0
acq,"Arabic, Ta’izzi-Adeni Spoken",Ta’izzi-Adeni Spoken Arabic,YE,Yemen,WAS,Western Asia,Asia,6980600,7,6980600,2,Afro-Asiatic,"Afro-Asiatic, Semitic, Central, South, Arabic",13.7739,43.7412,5,T,0,1,0,0,0,0
acr,Achi,Achi,GT,Guatemala,CAM,Central America,Americas,85600,5,85600,1,Mayan,"Mayan, Yucatecan-Core Mayan, K’ichean-Mamean, K’ichean, Poqom-K’ichean, Core K’ichean",15.1168,-90.4877,5,T,0,1,0,0,0,0
acs,Acroá,Acroá,BR,Brazil,SAM,South America,Americas,0,0,0,1,Jean,"Jean, Central",-13.1116,-45.9888,x10,F,0,0,0,0,0,1
