state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
Iowa,2017,2921617,Spanish,115267,"Chinese (incl. Mandarin, Cantonese)",11798,German,11483,Serbo-Croatian,8769,Vietnamese,7939
Kansas,2017,2706994,Spanish,205710,Vietnamese,12796,"Chinese (incl. Mandarin, Cantonese)",10749,German,10599,"Thai, Lao, or other Tai-Kadai languages",5048
Kentucky,2017,4150236,Spanish,107735,German,13752,Arabic,8371,French (incl. Cajun),7243,"Chinese (incl. Mandarin, Cantonese)",7215
Louisiana,2017,4353030,Spanish,161384,French (incl. Cajun),95648,Vietnamese,29008,Arabic,9426,"Chinese (incl. Mandarin, Cantonese)",9266
Maine,2017,1265764,French (incl. Cajun),37126,Spanish,11186,"Chinese (incl. Mandarin, Cantonese)",3468,German,2959,"Amharic, Somali, or other Afro-Asiatic languages",2437
Maryland,2017,5629329,Spanish,436910,"Chinese (incl. Mandarin, Cantonese)",68633,French (incl. Cajun),50331,"Yoruba, Twi, Igbo, or other languages of Western Africa",47120,Korean,39347
Massachusetts,2017,6426464,Spanish,564401,Portuguese,184962,"Chinese (incl. Mandarin, Cantonese)",129412,Haitian,77930,French (incl. Cajun),54399
Michigan,2017,9353569,Spanish,273148,Arabic,135336,"Chinese (incl. Mandarin, Cantonese)",49002,German,33685,Other Indo-European languages,33603
Minnesota,2017,5140764,Spanish,196279,"Amharic, Somali, or other Afro-Asiatic languages",69509,Hmong,61911,"Chinese (incl. Mandarin, Cantonese)",23366,Vietnamese,22918
Mississippi,2017,2795365,Spanish,67282,Vietnamese,6102,Other Native languages of North America,3860,French (incl. Cajun),3758,"Chinese (incl. Mandarin, Cantonese)",3489
Missouri,2017,5702159,Spanish,146225,"Chinese (incl. Mandarin, Cantonese)",20573,German,19680,Vietnamese,13727,Serbo-Croatian,12008
Montana,2017,968644,Spanish,13551,German,6420,Other Native languages of North America,6335,French (incl. Cajun),1797,"Chinese (incl. Mandarin, Cantonese)",1194
Nebraska,2017,1763094,Spanish,131614,Vietnamese,7550,Arabic,5299,Other languages of Asia,5168,"Chinese (incl. Mandarin, Cantonese)",5096
Nevada,2017,2706518,Spanish,575226,Tagalog (incl. Filipino),79449,"Chinese (incl. Mandarin, Cantonese)",28617,Korean,11739,"Amharic, Somali, or other Afro-Asiatic languages",10534
New Hampshire,2017,1267615,Spanish,27171,French (incl. Cajun),19845,"Chinese (incl. Mandarin, Cantonese)",5601,German,3625,Portuguese,3415
New Jersey,2017,8433445,Spanish,1360981,"Chinese (incl. Mandarin, Cantonese)",121495,Gujarati,81103,Tagalog (incl. Filipino),79417,Korean,78324
New Mexico,2017,1953766,Spanish,541385,Navajo,63073,Other Native languages of North America,32452,German,6507,French (incl. Cajun),5041
New York,2017,18621351,Spanish,2810962,"Chinese (incl. Mandarin, Cantonese)",588310,Russian,222096,Italian,165083,"Yiddish, Pennsylvania Dutch or other West Germanic languages",159439
North Carolina,2017,9448581,Spanish,704788,"Chinese (incl. Mandarin, Cantonese)",34508,French (incl. Cajun),27865,Vietnamese,24155,Arabic,22187
North Dakota,2017,693709,Spanish,11806,German,6401,"Chinese (incl. Mandarin, Cantonese)",1715,French (incl. Cajun),1709,Other Indo-European languages,1651
Ohio,2017,10914052,Spanish,244874,"Yiddish, Pennsylvania Dutch or other West Germanic languages",48996,German,46910,"Chinese (incl. Mandarin, Cantonese)",45786,Arabic,42618
Oklahoma,2017,3631138,Spanish,251108,Vietnamese,17784,Other Native languages of North America,14704,"Chinese (incl. Mandarin, Cantonese)",9684,German,8105
Oregon,2017,3793273,Spanish,343032,"Chinese (incl. Mandarin, Cantonese)",29681,Vietnamese,24966,Russian,22030,German,14473
Pennsylvania,2017,12078858,Spanish,576232,"Chinese (incl. Mandarin, Cantonese)",87245,"Yiddish, Pennsylvania Dutch or other West Germanic languages",71145,German,44182,Russian,38484
Rhode Island,2017,1001567,Spanish,119710,Portuguese,30744,French (incl. Cajun),9395,Haitian,8375,"Chinese (incl. Mandarin, Cantonese)",7401
South Carolina,2017,4603480,Spanish,205469,"Chinese (incl. Mandarin, Cantonese)",11735,German,11542,French (incl. Cajun),10215,Tagalog (incl. Filipino),6957
South Dakota,2017,795232,Spanish,16416,Other Native languages of North America,10441,German,5735,Other languages of Asia,2237,"Amharic, Somali, or other Afro-Asiatic languages",1896
Tennessee,2017,6194803,Spanish,248552,Arabic,23463,"Chinese (incl. Mandarin, Cantonese)",14774,German,12233,French (incl. Cajun),10931
Texas,2017,25437762,Spanish,7498255,Vietnamese,214373,"Chinese (incl. Mandarin, Cantonese)",164449,Tagalog (incl. Filipino),82851,Urdu,77847
Utah,2017,2739927,Spanish,274178,"Chinese (incl. Mandarin, Cantonese)",14553,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",11608,Portuguese,9603,German,8150
